,index,set_code,set_name,set_link
60,0,clext2.0,CLANNAD Vol2 Extra,https://yuyu-tei.jp/sell/ws/s/clext2.0#kana
61,0,clext3.0,CLANNAD Vol3 Extra,https://yuyu-tei.jp/sell/ws/s/clext3.0#kana
62,0,clpset,パワーアップセット CLANNAD,https://yuyu-tei.jp/sell/ws/s/clpset#kana
63,0,shinchan,クレヨンしんちゃん,https://yuyu-tei.jp/sell/ws/s/shinchan#kana
64,0,gri,グリザイアの果実,https://yuyu-tei.jp/sell/ws/s/gri#kana
65,0,gri2.0,グリザイアの果実 Vol.2,https://yuyu-tei.jp/sell/ws/s/gri2.0#kana
66,0,kmn,けものフレンズ,https://yuyu-tei.jp/sell/ws/s/kmn#kana
67,0,genei,幻影ヲ駆ケル太陽,https://yuyu-tei.jp/sell/ws/s/genei#kana
68,0,yhn,幻日のヨハネ -SUNSHINE in the MIRROR-,https://yuyu-tei.jp/sell/ws/s/yhn#kana
69,0,konosuba,この素晴らしい世界に祝福を！,https://yuyu-tei.jp/sell/ws/s/konosuba#kana
70,0,konosuba2.0,この素晴らしい世界に祝福を！ 2,https://yuyu-tei.jp/sell/ws/s/konosuba2.0#kana
71,0,konosubare,この素晴らしい世界に祝福を！ Re:Edit,https://yuyu-tei.jp/sell/ws/s/konosubare#kana
72,0,konosuba3.0,映画 この素晴らしい世界に祝福を！紅伝説,https://yuyu-tei.jp/sell/ws/s/konosuba3.0#kana
73,0,kmd,小林さんちのメイドラゴン,https://yuyu-tei.jp/sell/ws/s/kmd#kana
74,0,godzilla,アニメーション映画『GODZILLA』TD+,https://yuyu-tei.jp/sell/ws/s/godzilla#kana
75,0,godzillaext1.0,アニメーション映画『GODZILLA』Extra,https://yuyu-tei.jp/sell/ws/s/godzillaext1.0#kana
76,0,gochiusa,ご注文はうさぎですか？？,https://yuyu-tei.jp/sell/ws/s/gochiusa#kana
77,0,gochiusaext,ご注文はうさぎですか？？ Extra,https://yuyu-tei.jp/sell/ws/s/gochiusaext#kana
78,0,gochiusadms,ご注文はうさぎですか?? ～Dear My Sister～,https://yuyu-tei.jp/sell/ws/s/gochiusadms#kana
79,0,gochiusabloom,ご注文はうさぎですか？ BLOOM,https://yuyu-tei.jp/sell/ws/s/gochiusabloom#kana
80,0,gochiusare,ご注文はうさぎですか？ Re:Edit,https://yuyu-tei.jp/sell/ws/s/gochiusare#kana
81,0,5hy,五等分の花嫁,https://yuyu-tei.jp/sell/ws/s/5hy#kana
82,0,5hy2.0,五等分の花嫁∬,https://yuyu-tei.jp/sell/ws/s/5hy2.0#kana
