,index,set_code,set_name,set_link
0,0,sv05k,[SV5K] 拡張パック ワイルドフォース,https://yuyu-tei.jp/sell/poc/s/sv05k#newest
1,0,sv05m,[SV5M] 拡張パック サイバージャッジ,https://yuyu-tei.jp/sell/poc/s/sv05m#newest
2,0,svhk,[SVHK] スターターデッキ＆ビルドセット 古代のコライドンex,https://yuyu-tei.jp/sell/poc/s/svhk#newest
3,0,svhm,[SVHM] スターターデッキ＆ビルドセット 未来のミライドンex,https://yuyu-tei.jp/sell/poc/s/svhm#newest
4,0,sv05k,[SV5K] 拡張パック ワイルドフォース,https://yuyu-tei.jp/sell/poc/s/sv05k
5,0,sv05m,[SV5M] 拡張パック サイバージャッジ,https://yuyu-tei.jp/sell/poc/s/sv05m
6,0,sv04k,[SV4K] 拡張パック 古代の咆哮,https://yuyu-tei.jp/sell/poc/s/sv04k
7,0,sv04m,[SV4M] 拡張パック 未来の一閃,https://yuyu-tei.jp/sell/poc/s/sv04m
8,0,sv03a,[SV3a] 強化拡張パック レイジングサーフ,https://yuyu-tei.jp/sell/poc/s/sv03a
9,0,sv03,[SV3] 拡張パック 黒炎の支配者,https://yuyu-tei.jp/sell/poc/s/sv03
10,0,sv02a,[SV2a] 強化拡張パック ポケモンカード151,https://yuyu-tei.jp/sell/poc/s/sv02a
11,0,sv02p,[SV2P] 拡張パック スノーハザード,https://yuyu-tei.jp/sell/poc/s/sv02p
12,0,sv02d,[SV2D] 拡張パック クレイバースト,https://yuyu-tei.jp/sell/poc/s/sv02d
13,0,sv01a,[SV1a] 強化拡張パック トリプレットビート,https://yuyu-tei.jp/sell/poc/s/sv01a
14,0,sv01s,[SV1S] 拡張パック スカーレットex,https://yuyu-tei.jp/sell/poc/s/sv01s
15,0,sv01v,[SV1V] 拡張パック バイオレットex,https://yuyu-tei.jp/sell/poc/s/sv01v
16,0,s12,[S12] 拡張パック パラダイムトリガー,https://yuyu-tei.jp/sell/poc/s/s12
17,0,s11a,[S11a] 強化拡張パック 白熱のアルカナ,https://yuyu-tei.jp/sell/poc/s/s11a
18,0,s11,[S11] 拡張パック ロストアビス,https://yuyu-tei.jp/sell/poc/s/s11
19,0,s10b,[S10b] 強化拡張パック Pokémon GO,https://yuyu-tei.jp/sell/poc/s/s10b
20,0,s10a,[S10a] 強化拡張パック ダークファンタズマ,https://yuyu-tei.jp/sell/poc/s/s10a
21,0,s10d,[S10D] 拡張パック タイムゲイザー,https://yuyu-tei.jp/sell/poc/s/s10d
22,0,s10p,[S10P] 拡張パック スペースジャグラー,https://yuyu-tei.jp/sell/poc/s/s10p
23,0,s09a,[S9a] 強化拡張パック バトルリージョン,https://yuyu-tei.jp/sell/poc/s/s09a
24,0,s09,[S9] 拡張パック スターバース,https://yuyu-tei.jp/sell/poc/s/s09
